the_month,LGA_NAME23,solar_kwh_export,nmi_count
2022-07-01,Alpine,371837.177,2150
2022-07-01,Banyule,397065.659,3709
2022-07-01,Bass Coast,1142711.02,6718
2022-07-01,Baw Baw,1036205.262,6455
2022-07-01,Benalla,415632.953,2218
2022-07-01,Cardinia,2012080.136,11382
2022-07-01,Casey,6207741.809,34318
2022-07-01,Darebin,54979.881,460
2022-07-01,East Gippsland,1113823.612,7049
2022-07-01,Frankston,914.985,4
2022-07-01,Greater Dandenong,1648.216,5
2022-07-01,Greater Shepparton,468.602,4
2022-07-01,Hume,241876.639,821
2022-07-01,Indigo,674794.066,3220
2022-07-01,Knox,1533478.794,12061
2022-07-01,Latrobe (Vic.),1689641.24,7788
2022-07-01,Macedon Ranges,74.763,1
2022-07-01,Manningham,130041.519,1249
2022-07-01,Mansfield,344474.011,1724
2022-07-01,Maroondah,938872.031,7994
2022-07-01,Mitchell,880712.675,5354
2022-07-01,Moira,13402.994,79
2022-07-01,Murrindindi,294321.188,2259
2022-07-01,Nillumbik,519137.30700000003,5230
2022-07-01,South Gippsland,676709.786,4701
2022-07-01,Strathbogie,303450.206,1876
2022-07-01,Towong,218996.148,1179
2022-07-01,Unincorporated Vic,769.167,19
2022-07-01,Wangaratta,941435.672,4539
2022-07-01,Wellington,987785.909,5805
2022-07-01,Whitehorse,589.364,3
2022-07-01,Whittlesea,3393164.433,18995
2022-07-01,Wodonga,1351449.076,5361
2022-07-01,Yarra Ranges,1441154.11,13113
2022-08-01,Alpine,389958.205,2175
2022-08-01,Banyule,542114.734,3752
2022-08-01,Bass Coast,1467971.864,6807
2022-08-01,Baw Baw,1313918.222,6534
2022-08-01,Benalla,431923.728,2234
2022-08-01,Cardinia,2570653.826,11550
2022-08-01,Casey,7650317.221,34674
2022-08-01,Darebin,70188.372,461
2022-08-01,East Gippsland,1725788.854,7110
2022-08-01,Frankston,1368.419,4
2022-08-01,Greater Dandenong,2300.184,5
2022-08-01,Greater Shepparton,418.885,4
2022-08-01,Hume,301628.113,837
2022-08-01,Indigo,650579.571,3244
2022-08-01,Knox,1952862.337,12171
2022-08-01,Latrobe (Vic.),2095255.741,7882
2022-08-01,Macedon Ranges,118.564,1
2022-08-01,Manningham,169378.919,1268
2022-08-01,Mansfield,397570.386,1746
2022-08-01,Maroondah,1177466.706,8090
2022-08-01,Mitchell,1076893.278,5391
2022-08-01,Moira,14180.275,79
2022-08-01,Murrindindi,371942.181,2284
2022-08-01,Nillumbik,745905.155,5311
2022-08-01,South Gippsland,865086.544,4739
2022-08-01,Strathbogie,372594.416,1887
2022-08-01,Towong,227681.453,1184
2022-08-01,Unincorporated Vic,535.482,19
2022-08-01,Wangaratta,1001524.484,4584
2022-08-01,Wellington,1380956.258,5874
2022-08-01,Whitehorse,794.905,3
2022-08-01,Whittlesea,4391067.455,19301
2022-08-01,Wodonga,1320295.694,5432
2022-08-01,Yarra Ranges,1873779.846,13255
2022-09-01,Alpine,582619.885,2173
2022-09-01,Banyule,704069.569,3765
2022-09-01,Bass Coast,2101847.71,6840
2022-09-01,Baw Baw,1617012.198,6567
2022-09-01,Benalla,663260.533,2243
2022-09-01,Cardinia,3152002.247,11610
2022-09-01,Casey,10285146.9,34798
2022-09-01,Darebin,85773.01,461
2022-09-01,East Gippsland,2209069.34,7130
2022-09-01,Frankston,2416.533,4
2022-09-01,Greater Dandenong,3310.141,5
2022-09-01,Greater Shepparton,552.0469999999999,4
2022-09-01,Hume,360499.7,850
2022-09-01,Indigo,942288.096,3251
2022-09-01,Knox,2818341.119,12211
2022-09-01,Latrobe (Vic.),2368505.304,7911
2022-09-01,Macedon Ranges,138.78,1
2022-09-01,Manningham,239980.192,1280
2022-09-01,Mansfield,552637.591,1755
2022-09-01,Maroondah,1655602.092,8124
2022-09-01,Mitchell,1341599.854,5435
2022-09-01,Moira,21090.066,80
2022-09-01,Murrindindi,519934.663,2297
2022-09-01,Nillumbik,986921.742,5333
2022-09-01,South Gippsland,1170875.085,4766
2022-09-01,Strathbogie,523434.746,1894
2022-09-01,Towong,332582.506,1190
2022-09-01,Unincorporated Vic,1993.845,21
2022-09-01,Wangaratta,1442945.582,4602
2022-09-01,Wellington,1710807.058,5888
2022-09-01,Whitehorse,1092.975,3
2022-09-01,Whittlesea,5302803.84,19296
2022-09-01,Wodonga,1929503.808,5448
2022-09-01,Yarra Ranges,2686760.41,13340
2022-10-01,Alpine,648246.093,2188
2022-10-01,Banyule,1068382.334,3793
2022-10-01,Bass Coast,2785120.751,6912
2022-10-01,Baw Baw,2428512.095,6627
2022-10-01,Benalla,708553.696,2265
2022-10-01,Cardinia,4566893.376,11716
2022-10-01,Casey,13761062.618,35017
2022-10-01,Darebin,128961.21399999999,457
2022-10-01,East Gippsland,2554666.235,7181
2022-10-01,Frankston,3642.193,4
2022-10-01,Greater Dandenong,5587.7,5
2022-10-01,Greater Shepparton,585.485,4
2022-10-01,Hume,511474.94,867
2022-10-01,Indigo,1072499.002,3277
2022-10-01,Knox,4041908.972,12312
2022-10-01,Latrobe (Vic.),3230261.08,7969
2022-10-01,Macedon Ranges,236.945,1
2022-10-01,Manningham,382779.086,1285
2022-10-01,Mansfield,646654.41,1775
2022-10-01,Maroondah,2540030.728,8172
2022-10-01,Mitchell,1901217.967,5474
2022-10-01,Moira,23086.762,81
2022-10-01,Murrindindi,690020.229,2311
2022-10-01,Nillumbik,1528084.449,5380
2022-10-01,South Gippsland,1614509.351,4791
2022-10-01,Strathbogie,599768.357,1901
2022-10-01,Towong,378478.984,1189
2022-10-01,Unincorporated Vic,8082.7699999999995,21
2022-10-01,Wangaratta,1591308.996,4624
2022-10-01,Wellington,2102929.293,5923
2022-10-01,Whitehorse,1806.4360000000001,3
2022-10-01,Whittlesea,7520016.876,19205
2022-10-01,Wodonga,2197240.403,5489
2022-10-01,Yarra Ranges,4028347.937,13424
2022-11-01,Alpine,948931.663,2198
2022-11-01,Banyule,1188670.674,3816
2022-11-01,Bass Coast,3447402.26,6964
2022-11-01,Baw Baw,2651595.365,6670
2022-11-01,Benalla,1009660.035,2277
2022-11-01,Cardinia,4975331.738,11796
2022-11-01,Casey,15484202.037,35224
2022-11-01,Darebin,143420.414,455
2022-11-01,East Gippsland,3349267.388,7230
2022-11-01,Frankston,3984.0190000000002,4
2022-11-01,Greater Dandenong,5725.184,7
2022-11-01,Greater Shepparton,884.39,4
2022-11-01,Hume,602137.941,872
2022-11-01,Indigo,1484501.244,3293
2022-11-01,Knox,4200203.862,12361
2022-11-01,Latrobe (Vic.),3843719.956,8008
2022-11-01,Macedon Ranges,355.756,1
2022-11-01,Manningham,402200.453,1296
2022-11-01,Mansfield,909280.537,1777
2022-11-01,Maroondah,2619214.053,8259
2022-11-01,Mitchell,2339791.612,5498
2022-11-01,Moira,30757.63,80
2022-11-01,Murrindindi,879107.343,2318
2022-11-01,Nillumbik,1691778.836,5409
2022-11-01,South Gippsland,1920733.998,4811
2022-11-01,Strathbogie,816837.586,1907
2022-11-01,Towong,520937.94,1181
2022-11-01,Unincorporated Vic,10065.985999999999,21
2022-11-01,Wangaratta,2300135.592,4640
2022-11-01,Wellington,2785660.806,5966
2022-11-01,Whitehorse,1915.8319999999999,3
2022-11-01,Whittlesea,8359735.183,19223
2022-11-01,Wodonga,3123494.017,5528
2022-11-01,Yarra Ranges,4158900.578,13523
2022-12-01,Alpine,1158888.736,2204
2022-12-01,Banyule,1672590.521,3873
2022-12-01,Bass Coast,4283481.334,7014
2022-12-01,Baw Baw,3605527.016,6711
2022-12-01,Benalla,1172354.843,2296
2022-12-01,Cardinia,6805950.575,11905
2022-12-01,Casey,20517767.979,35426
2022-12-01,Darebin,195551.363,458
2022-12-01,East Gippsland,3557535.604,7286
2022-12-01,Frankston,6453.58,4
2022-12-01,Greater Dandenong,14017.637999999999,7
2022-12-01,Greater Shepparton,1094.605,4
2022-12-01,Hume,774396.601,888
2022-12-01,Indigo,1698650.302,3301
2022-12-01,Knox,6080785.323,12426
2022-12-01,Latrobe (Vic.),4600966.389,8085
2022-12-01,Macedon Ranges,357.117,1
2022-12-01,Manningham,598186.18,1305
2022-12-01,Mansfield,1094874.651,1790
2022-12-01,Maroondah,4005911.492,8316
2022-12-01,Mitchell,2993224.884,5536
2022-12-01,Moira,33599.231,80
2022-12-01,Murrindindi,1141730.235,2334
2022-12-01,Nillumbik,2408778.975,5458
2022-12-01,South Gippsland,2396237.129,4846
2022-12-01,Strathbogie,971430.088,1923
2022-12-01,Towong,608444.527,1188
2022-12-01,Unincorporated Vic,14854.215,22
2022-12-01,Wangaratta,2604286.941,4655
2022-12-01,Wellington,3010064.054,6016
2022-12-01,Whitehorse,2733.123,3
2022-12-01,Whittlesea,11493416.253,19297
2022-12-01,Wodonga,3491196.12,5568
2022-12-01,Yarra Ranges,6119203.413,13645
2023-01-01,Alpine,1127270.216,2217
2023-01-01,Banyule,1544647.305,3896
2023-01-01,Bass Coast,4081348.919,7055
2023-01-01,Baw Baw,3350539.736,6746
2023-01-01,Benalla,1076878.118,2308
2023-01-01,Cardinia,6251251.435,12006
2023-01-01,Casey,18709057.992,35462
2023-01-01,Darebin,177518.972,455
2023-01-01,East Gippsland,3458873.231,7305
2023-01-01,Frankston,5297.35,4
2023-01-01,Greater Dandenong,9293.249,7
2023-01-01,Greater Shepparton,1058.729,4
2023-01-01,Hume,727791.78,904
2023-01-01,Indigo,1637979.01,3315
2023-01-01,Knox,5528709.753,12494
2023-01-01,Latrobe (Vic.),4265280.053,8140
2023-01-01,Macedon Ranges,160.927,1
2023-01-01,Manningham,549210.503,1319
2023-01-01,Mansfield,1058006.115,1792
2023-01-01,Maroondah,3744946.513,8341
2023-01-01,Mitchell,2876452.133,5570
2023-01-01,Moira,31580.887,81
2023-01-01,Murrindindi,1129737.354,2342
2023-01-01,Nillumbik,2201917.2,5494
2023-01-01,South Gippsland,2271025.161,4866
2023-01-01,Strathbogie,938102.133,1930
2023-01-01,Towong,568855.167,1197
2023-01-01,Unincorporated Vic,15822.101999999999,22
2023-01-01,Wangaratta,2371647.35,4663
2023-01-01,Wellington,2748759.353,6021
2023-01-01,Whitehorse,2345.538,3
2023-01-01,Whittlesea,10632706.038,19411
2023-01-01,Wodonga,3223128.849,5610
2023-01-01,Yarra Ranges,5749371.813,13690
2023-02-01,Alpine,1031190.399,2225
2023-02-01,Banyule,1263077.8,3931
2023-02-01,Bass Coast,3285808.447,7121
2023-02-01,Baw Baw,2752744.872,6793
2023-02-01,Benalla,1014329.302,2330
2023-02-01,Cardinia,5161757.761,12107
2023-02-01,Casey,15621779.586,35904
2023-02-01,Darebin,143334.5,459
2023-02-01,East Gippsland,3376101.05,7381
2023-02-01,Frankston,4432.005,4
2023-02-01,Greater Dandenong,6059.544,7
2023-02-01,Greater Shepparton,869.835,4
2023-02-01,Hume,638833.677,924
2023-02-01,Indigo,1529526.107,3327
2023-02-01,Knox,4281640.497,12505
2023-02-01,Latrobe (Vic.),3886951.386,8193
2023-02-01,Manningham,448526.334,1327
2023-02-01,Mansfield,982735.443,1805
2023-02-01,Maroondah,3018817.165,8429
2023-02-01,Mitchell,2562856.566,5609
2023-02-01,Moira,28747.079,81
2023-02-01,Murrindindi,992497.601,2346
2023-02-01,Nillumbik,1794623.733,5537
2023-02-01,South Gippsland,1848410.496,4889
2023-02-01,Strathbogie,842495.59,1937
2023-02-01,Towong,538180.141,1208
2023-02-01,Unincorporated Vic,15517.002,22
2023-02-01,Wangaratta,2184352.538,4697
2023-02-01,Wellington,2667018.526,6038
2023-02-01,Whitehorse,1458.487,3
2023-02-01,Whittlesea,8682481.132,19540
2023-02-01,Wodonga,3099679.381,5657
2023-02-01,Yarra Ranges,4701555.605,13826
2023-03-01,Alpine,787924.495,2239
2023-03-01,Banyule,1095924.126,3968
2023-03-01,Bass Coast,2863708.389,7207
2023-03-01,Baw Baw,2291853.008,6830
2023-03-01,Benalla,791702.77,2354
2023-03-01,Cardinia,4660951.138,12204
2023-03-01,Casey,14536210.023,36299
2023-03-01,Darebin,129821.597,478
2023-03-01,East Gippsland,2661209.983,7427
2023-03-01,Frankston,3636.9809999999998,4
2023-03-01,Greater Dandenong,4575.967,8
2023-03-01,Greater Shepparton,787.876,4
2023-03-01,Hume,530139.798,934
2023-03-01,Indigo,1209677.761,3345
2023-03-01,Knox,4046577.907,12682
2023-03-01,Latrobe (Vic.),3419247.745,8235
2023-03-01,Manningham,368620.632,1332
2023-03-01,Mansfield,757517.708,1813
2023-03-01,Maroondah,2560097.828,8497
2023-03-01,Mitchell,2054846.196,5639
2023-03-01,Moira,23828.015,82
2023-03-01,Murrindindi,780635.696,2361
2023-03-01,Nillumbik,1518720.991,5569
2023-03-01,South Gippsland,1554755.298,4905
2023-03-01,Strathbogie,682525.217,1941
2023-03-01,Towong,427840.025,1214
2023-03-01,Unincorporated Vic,10851.433,23
2023-03-01,Wangaratta,1722051.247,4725
2023-03-01,Wellington,2151751.365,6076
2023-03-01,Whitehorse,1805.533,3
2023-03-01,Whittlesea,7561324.888,20068
2023-03-01,Wodonga,2561202.912,5698
2023-03-01,Yarra Ranges,3969009.978,13921
2023-04-01,Alpine,636679.865,2248
2023-04-01,Banyule,797483.933,3991
2023-04-01,Bass Coast,1974523.017,7227
2023-04-01,Baw Baw,1727957.834,6861
2023-04-01,Benalla,710057.503,2360
2023-04-01,Cardinia,3449995.735,12272
2023-04-01,Casey,10307531.464,36400
2023-04-01,Darebin,96622.692,480
2023-04-01,East Gippsland,1966104.106,7460
2023-04-01,Frankston,1738.583,4
2023-04-01,Greater Dandenong,2744.948,9
2023-04-01,Greater Shepparton,517.884,4
2023-04-01,Hume,431002.02,939
2023-04-01,Indigo,1028443.695,3358
2023-04-01,Knox,2928732.628,12727
2023-04-01,Latrobe (Vic.),2564946.364,8265
2023-04-01,Manningham,258348.796,1336
2023-04-01,Mansfield,591836.539,1826
2023-04-01,Maroondah,1836715.442,8559
2023-04-01,Mitchell,1635684.64,5661
2023-04-01,Moira,19851.363,84
2023-04-01,Murrindindi,575844.304,2373
2023-04-01,Nillumbik,1098520.994,5585
2023-04-01,South Gippsland,1109885.064,4921
2023-04-01,Strathbogie,545420.849,1937
2023-04-01,Towong,362885.557,1220
2023-04-01,Unincorporated Vic,6932.927,23
2023-04-01,Wangaratta,1580212.999,4755
2023-04-01,Wellington,1685062.697,6084
2023-04-01,Whitehorse,1229.227,3
2023-04-01,Whittlesea,6049372.546,20379
2023-04-01,Wodonga,2180006.996,5737
2023-04-01,Yarra Ranges,2869642.745,14008
2023-05-01,Alpine,382680.043,2261
2023-05-01,Banyule,487407.926,4016
2023-05-01,Bass Coast,1401236.401,7264
2023-05-01,Baw Baw,1181033.958,6920
2023-05-01,Benalla,410525.603,2365
2023-05-01,Cardinia,2359921.554,12362
2023-05-01,Casey,7155794.51,36705
2023-05-01,Darebin,62121.448,486
2023-05-01,East Gippsland,1434663.883,7489
2023-05-01,Frankston,950.892,4
2023-05-01,Greater Dandenong,1522.289,9
2023-05-01,Greater Shepparton,322.63,4
2023-05-01,Hume,300307.674,949
2023-05-01,Indigo,685900.861,3366
2023-05-01,Knox,1850449.023,12831
2023-05-01,Latrobe (Vic.),2025997.218,8321
2023-05-01,Manningham,139868.32,1335
2023-05-01,Mansfield,334448.515,1832
2023-05-01,Maroondah,1065048.923,8615
2023-05-01,Mitchell,1028311.254,5694
2023-05-01,Moira,12992.248,83
2023-05-01,Murrindindi,306645.204,2394
2023-05-01,Nillumbik,633622.577,5610
2023-05-01,South Gippsland,773337.917,4937
2023-05-01,Strathbogie,327168.103,1949
2023-05-01,Towong,219805.485,1222
2023-05-01,Unincorporated Vic,4407.117,23
2023-05-01,Wangaratta,969895.493,4780
2023-05-01,Wellington,1176675.8260000001,6117
2023-05-01,Whitehorse,777.359,3
2023-05-01,Whittlesea,4173389.358,20595
2023-05-01,Wodonga,1433616.65,5778
2023-05-01,Yarra Ranges,1639828.897,14044
2023-06-01,Alpine,192527.204,2263
2023-06-01,Banyule,358058.942,4038
2023-06-01,Bass Coast,1059694.8,7291
2023-06-01,Baw Baw,879198.784,6947
2023-06-01,Benalla,234943.383,2364
2023-06-01,Cardinia,1866950.797,12440
2023-06-01,Casey,5409165.447,36892
2023-06-01,Darebin,45678.413,484
2023-06-01,East Gippsland,1142292.44,7485
2023-06-01,Frankston,601.141,4
2023-06-01,Greater Dandenong,711.833,9
2023-06-01,Greater Shepparton,184.16,4
2023-06-01,Hume,235462.956,958
2023-06-01,Indigo,368660.256,3371
2023-06-01,Knox,1319324.108,12867
2023-06-01,Latrobe (Vic.),1607069.356,8361
2023-06-01,Macedon Ranges,26.02,1
2023-06-01,Manningham,99164.564,1335
2023-06-01,Mansfield,208083.792,1834
2023-06-01,Maroondah,772580.906,8651
2023-06-01,Mitchell,646036.565,5715
2023-06-01,Moira,7745.769,83
2023-06-01,Murrindindi,197066.662,2393
2023-06-01,Nillumbik,452341.961,5618
2023-06-01,South Gippsland,568324.949,4955
2023-06-01,Strathbogie,188746.948,1944
2023-06-01,Towong,131352.887,1224
2023-06-01,Unincorporated Vic,832.522,23
2023-06-01,Wangaratta,527751.456,4802
2023-06-01,Wellington,912227.912,6136
2023-06-01,Whitehorse,566.451,3
2023-06-01,Whittlesea,3199526.087,20681
2023-06-01,Wodonga,805448.995,5814
2023-06-01,Yarra Ranges,1168233.397,14061
